Verse, Meter
Ghouls in shadows want to play, anapaest
Does he stand a ghost of chance, anapaest
To take her to the midnight dance, anapaest
Our cat has groomed her black coat sleek, anapaest
then hops upon the fence to sneak, anapaest
a peek into the living room, anapaest
where Dad weaves magic like a goon, anapaest
Embarrassed is a family clan, anapaest
They toss his magic in the can, anapaest
A wartnosed witch gets on her broom, anapaest
but preteen feet cant fly or zoom , anapaest
until she cleans her messy room, anapaest
The bedrooms cleaned with spit and shine, anapaest
While brother dares to take his time, anapaest
He plans to fill his sisters bag, anapaest
With tasty toads and wormy slime, anapaest
I hide and dread the harvest moon, anapaest
All Hollows Eve is coming soon, anapaest
I thought Id write some poetry, anapaest
Just for the fun that it would be, anapaest
So I went to the web to see, anapaest
 what it said, anapaest
about how to write poems just for me, anapaest
I ran into words like iambic and tercet, anapaest
and other ones that I had never met   , anapaest
There was even a thing called a quatrain, anapaest
that confused and corrupted my brain, anapaest
Stanzas are neat if they get the right beat, anapaest
with the meter which Id no doubt delete, anapaest
You also have tetrameter and pentameter, anapaest
which are terms I dont think are neat, anapaest
Long ago I did write in rhyme , anapaest
but just to friends who didnt mind, anapaest
Id write some limericks or lyrics to sing, anapaest
that were not important , anapaest
and didnt mean a thing, anapaest
But as I write now and look into how, anapaest
I find myself stymied by words to allow, anapaest
I read such things as trochee , anapaest
and anapest and even dactyl, anapaest
They are words I just read , anapaest
and dont really feel, anapaest
 a measure in feet, anapaest
With stresses on heavy or light, anapaest
and then they repeat, anapaest
They do form the meter , anapaest
which makes the poem complete, anapaest
I may just give up and write more in prose, anapaest
My friends will give thanks and Id smell like a rose, anapaest
But I do get such joy with the lines in a verse, anapaest
which doesnt make sense , anapaest
and just makes it worse, anapaest
Free verse would just boggle my mind, anapaest
It really wont matter, anapaest
what rules I would shatter, anapaest
as long as I make the words rhyme, anapaest
Limerick Gimmerick, anapaest
Jason of Pendleton, anapaest
Tried doubledactyls while, anapaest
Fearing the worst, anapaest
Uhohspaghettio, anapaest
Theyre all bassackwards cuz, anapaest
Hes used to anapest, anapaest
An Old Goat in a boat rowed off shore, anapaest
He caught perch in his search and much more, anapaest
theres trout in his coat, anapaest
Eau de fish was his scent evermore, anapaest
How they laugh and they point as they whisper bout me, anapaest
And they only can see what their shallow eyes see, anapaest
Though my surface is not picture perfect for show, anapaest
How this heart bleeds with purpose they never could know, anapaest
Of the horrors and trials my soul has survived, anapaest
Of the hell and the fury that killed me alive, anapaest
Ive been stripped of my honor and burnt at the stake, anapaest
Made to live in a nightmare but could not awake, anapaest
The atrocities bared on my face in display, anapaest
Oh they cause you to cringe as your eyes turn away, anapaest
And the truth is my scars are much deeper than face, anapaest
Just a trace has been left of humanitys grace, anapaest
As they came in the dead of the night whilst we slept, anapaest
Through the house down the hall they so silently crept, anapaest
I was tied to a chair and with sickened disgust, anapaest
Made to watch as my daughters defiled with their lust, anapaest
Oh my sweet baby girls who I failed to protect, anapaest
Now your innocence lives in my heart where youre kept, anapaest
As the flames and your screams took the last of my peace, anapaest
Melting skin joined my tears as your souls found release, anapaest
Fall the leaves of the forest tho death has yet passed , anapaest
Unto moonlit shadows within crypts hidden rot , anapaest
Oh but lo To the truth they are blind it is naught, anapaest
Theyre but fragmented feelings of love left aghast , anapaest
From her heart they were torn bits he stabbed then forgot , anapaest
The shadows cannot hide nor contain the scars wrought , anapaest
Left to wander until retribution is brought, anapaest
As the sky bleeds to twilight  the sweetest disease, anapaest
As a warm breeze courts Eros at twilights advance, anapaest
Till a feverish tango as all reason halts, anapaest
As the world falls from focus in dizzying strides , anapaest
Should the moon cast its toxin on amorous souls, anapaest
The subject at hand will be somewhat informal, anapaest
I wonder each day what will be the new normal, anapaest
to find some brand new locks growing out of my ear, anapaest
And what of tomorrow morning when I awake, anapaest
Will I find a limb afflicted with a strange ache, anapaest
Will the pharmacy have some great cream or a pill, anapaest
to assuage sudden change brought on by my ill, anapaest
I have chosen to find humor rather than stress, anapaest
to keep our lives routine will cost us more money, anapaest
to the edge of horizons and harmonys light, anapaest
comes warm smiles to be found on the face of our hearts, anapaest
this rapture so vibrant from the wealth of loves eyes, anapaest
was released and was felt when we cut through its veils , anapaest
to invite a new world to be filled with lifes needs, anapaest
and claim peace from the soul with the years to be shared, anapaest
to welcome the mornings when the light rushes free, anapaest
and hinges on eyelids come open to adore, anapaest
the lovely jewels held in the life well treasure, anapaest
as we move through the days with a blissful intent, anapaest
when time becomes fleeting and the days become nights, anapaest
unaware of the world and the time to have passed  , anapaest
to spend our emotions when love found us worthy, anapaest
this payment to be made with the lips breathless kiss, anapaest
I was lost as the night wrapped its ebony shades, anapaest
round your lips like the petals on roses unfurled, anapaest
left me hopeless to shun a temptation like this, anapaest
though aware of the thorns and the danger they posed, anapaest
so I reached for your love and I bled and I cried, anapaest
as I danced through the stems of your past and your life, anapaest
and was freed from my own hidden garden of pain, anapaest
A poet was making such clatter, anapaest
His friend ran to see whats the matter, anapaest
or my poems cant be, anapaest
in Antiseptic Pentameter, anapaest
His friend laughed at all of the chatter, anapaest
The other didnt grasp the matter, anapaest
so your poems will be, anapaest
in Antipasto Pentameter, anapaest
My problem with glutens the matter, anapaest
and why I must make so much clatter, anapaest
Im allergic you see, anapaest
Id get shakes and would be, anapaest
writing in Spastic Pentameter, anapaest
In a prayer anapestic, anapaest
this form was to tick, anapaest
Tis the day after Christmas the house is a mess, anapaest
When will they restore order Thats anyones guess, anapaest
This familys sluggish and tired as can be, anapaest
seven veggies    Mom will use her skills to disguise, anapaest
all thats left Shell transform it and serve it for days, anapaest
Daddy slips to the den to his favorite chair, anapaest
for a short winters napthen sees Mom standing there, anapaest
Then a big pile of invoices for us awaits, anapaest
We will pay them online Now is no time to doze, anapaest
Then up from the recliner poor pooped Dad arose, anapaest
I can see them but often are blurs undefined, anapaest
I can see them in beauty of lifes sweet ballet, anapaest
every new day unfolds with its bright morning ray, anapaest
in their river of insights where artistry streams, anapaest
inspiration flows from them in glorious beams, anapaest
Gods most beautiful creatures of angels help me, anapaest
angel love and directionsunup till sundown, anapaest
angel love and directionsunup till sundown, anapaest
I cannot say how poems come to be, anapaest
they come into my mind amazingly, anapaest
I cannot say how I hunt down my words, anapaest
Or then select a form to fit the theme, anapaest
Or count the syllables for metered flow, anapaest
select the feet of two or more to show, anapaest
that make the words behave or wildly prance, anapaest
to then rewrite and add what I forgot, anapaest
I cannot say how poems come to be, anapaest
they come into my mind amazingly, anapaest
is an awesome reserve of a pot filled with gold, anapaest
in the form of gold coins to use up selfishly, anapaest
theyll be wishes come true deep within to allot, anapaest
Like a resolute peace in each country on Earth, anapaest
Find the cure for diseasestheir mysteries solved, anapaest
so the curse of these monsters is truly dissolved, anapaest
Find a way to stop hunger both here and abroad, anapaest
make new laws so that violence does not erupt, anapaest
with her laws keep in sync in whatever we do, anapaest
theyll be wishes come true for mankind to behold, anapaest
   the first child with a brother who followed in time, anapaest
   and my teachers took time to encourage my urge, anapaest
I enjoyed my young years while I painted and penned, anapaest
   lots of canvas and paper used up without end, anapaest
   and enjoyed my new path of becoming a wife, anapaest
We worked hard every day and our life was so good, anapaest
   I wrote poems and painted whenever I could, anapaest
   and I studied six years at an art gallery, anapaest
   I enrolled in a college to study parttime, anapaest
   a BAand a Minor in Business for me, anapaest
   and I soon published poems of life and of heart, anapaest
Yet along in this time of my great writing spree, anapaest
  I worked hard every day as our business VP, anapaest
Our dear children all married with families too, anapaest
   are involved happily in whatever they do, anapaest
   and one granddaughter married two thousand thirteen, anapaest
We are proud and so blessed and thank God up above, anapaest
   for our days and our life of good times filled with love, anapaest
But to my big surprise when that contest was done, anapaest
My sad eyes saw in fact that my poem had not won, anapaest
Could not find what it meant anywhere on the site, anapaest
My head spun to fit in which of these it could be, anapaest
Now I still do not know what NA represents, anapaest
When your poem doesnt win in Soup contest events, anapaest
I give praise and respect to the Christ, anapaest
His good grace as I ask  is a win, anapaest
In no way does no price mean no cost, anapaest
For Gods mercys a gift He presents, anapaest
for eternity  wasted expense, anapaest
The real cost for our Lord was His blood, anapaest
And our God sends His Spirit to flood, anapaest
the new life with the powr of the cross, anapaest
Sins a breach between man and his God, anapaest
He deserves no mere shallow embrace, anapaest
No believer with simply a nod, anapaest
understands the full cost of His grace, anapaest
does a friendship with God eer begin, anapaest
Jesus Christ wants obedience now, anapaest
than to lay down your life for your friend, anapaest
we set off on excursions within that domain, anapaest
we began at a loss, anapaest
We embark on a most unpredictable task , anapaest
touring Cadillac Mountain with fog as a mask , anapaest
by creating a fuss, anapaest
up the fiftytwo steps to attend to our need, anapaest
we by chance run across, anapaest
Is it algae or lichen a fungus or fern, anapaest
a true whatzit for us, anapaest
I see fanciful lace mid inherent decay, anapaest
I see whimsical bubbles entangled in play, anapaest
I see change as our mood now reverses dismay , anapaest
its an insight from moss, anapaest
In a small grassy field, anapaest
With the trees all around, anapaest
Theres a fairy ring ancient and old, anapaest
And at times you can hear, anapaest
Perfect echoes of sound , anapaest
Tis the music of ages untold, anapaest
For the crickets keep time, anapaest
To a waltz or a reel, anapaest
And the birds fill that lovely expanse, anapaest
With the notes to a tune, anapaest
In the field where the butterflies dance, anapaest
Where the wildflowers bloom, anapaest
With a sweet perfume, anapaest
In a rainbow of colours and shades, anapaest
Where the maids hurry down, anapaest
From the hilltop town, anapaest
And the butterflies dance with the maids, anapaest
On a winged pirouette, anapaest
Or a six legged slip, anapaest
And their wings flash in time, anapaest
To a bright Scottish trip, anapaest
While the lassies turn round by the burn, anapaest
For the crickets keep time, anapaest
To a waltz or a reel, anapaest
And the birds fill that lovely expanse, anapaest
With the notes to a tune, anapaest
Where the wildflowers bloom, anapaest
With a sweet perfume, anapaest
In a rainbow of colours and shades, anapaest
Where the maids hurry down, anapaest
From the hilltop town, anapaest
And the butterflies dance with the maids, anapaest
Where they splash in the stream, anapaest
Or they lie and dream, anapaest
Where the bullfrogs thrum, anapaest
While the butterflies wing, anapaest
And the hummingbirds hum, anapaest
While the merry maids sing, anapaest
Dawn chorus trills arias in duet, anapaest
Not a dulcet tone morning to forget, anapaest
Rose shot with purl, anapaest
A white wedding dress shimmers in sunlight, anapaest
Rose petals curl, anapaest
The fresh flush of a virgin prescribed writ, anapaest
The purity evident on soffit, anapaest
Rose throws to hurl, anapaest
The serene still reflection in mirror, anapaest
Belie fervid brow  tester an error, anapaest
Rose bud unfurls, anapaest
The first time I heard this I was in disbelief, anapaest
As he readied to play he rosined a long bow, anapaest
On a hill far away the notes softly and slow, anapaest
I heard voices of angels in tune through it all, anapaest
Through it all the strange notes woefully made demand, anapaest
with small pricks of conscience from the musics tearful darts, anapaest
With such lightness and patterns and passionfilled phrases, anapaest
Do you deign to reply just to prop up your selfpride, anapaest
And takes pride in the craft of his new devotee, anapaest
Magnanimity faded as rivalries grew, anapaest
With the confidence born of a spirit secure, anapaest
Many veteran artists opine to be sure, anapaest
And the metrical rhythm and pacing they find, anapaest
so essential to verse in traditional form, anapaest
With the internal metronome setting the norm, anapaest
And the imagery seen in a free verse unbound, anapaest
By the strictures and structures of metrical scheme, anapaest
Nontraditional verse deserves no less esteem, anapaest
In the end all agree that emotions the key , anapaest
And the soul of the poet must yearn to be free, anapaest
Be the uncensored voice that will sometimes annoy, anapaest
Theres a river that twists in the mind, anapaest
on crusades to the summit of rhyme, anapaest
where my Phoenix of tropes and schemes live, anapaest
In a war to free dictions fair Queen, anapaest
where the Soldiers of Babel bemuse, anapaest
and the modern day graceless regimes, anapaest
are in battles to stifle my muse, anapaest
In my quest for her verse of prestige, anapaest
I have traveled a nexus of words, anapaest
with this Lexis of language on siege, anapaest
where the dissonant hum drum is heard, anapaest
as I pin down my thoughts in a rush, anapaest
as her essence of glory I brush, anapaest
Shes the Queen Muse that whispers within, anapaest
she supplies me the yarn that I spin, anapaest
as she lends me her rhythm awhile, anapaest
Its the moment her Highness is freed, anapaest
that the Armies of Dissonance fall, anapaest
and the sound of Perfection can bleed, anapaest
in those lyrical sounds that enthrall, anapaest
I was born Bronx New York in the year 'Thirty Nine, anapaest
the first child with a brother who followed in time, anapaest
Ten years later moved North Hudson Valley same State, anapaest
where I've settled lived on with my loved ones to date, anapaest
But when young in my school two fine talents emerged, anapaest
and my teachers took time to encourage my urge, anapaest
I enjoyed my young years while I painted and penned, anapaest
lots of canvas and paper used up without end, anapaest
At nineteen I then married the love of my life, anapaest
and enjoyed my new path of becoming a wife, anapaest
to my US Marine very handsome and true, anapaest
Paris Island our home for a year almost two, anapaest
By the age twenty five I was mother of three, anapaest
a fine son two sweet girls a complete family, anapaest
We worked hard every day and our life was so good, anapaest
I wrote poems and painted whenever I could, anapaest
Later painting with oils was the pastime for me, anapaest
and I studied six years at an art gallery, anapaest
Varied art shows displays and a job filled my time, anapaest
Soon I sold many pieces and life was sublime, anapaest
Yet the years went by fast and at age thirty nine, anapaest
I enrolled in a college to study part time, anapaest
Six years later I earned my prized English degree, anapaest
a BA and a Minor in Business for me, anapaest
Then my pictures with words replaced those done thru art, anapaest
and I soon published poems of life and of heart, anapaest
Yet along in this time of my great writing spree, anapaest
I worked hard every day as our business VP, anapaest
For a full twenty years we worked hard faithfully, anapaest
after hubby retired as the Chief of FD, anapaest
selling our fire equipment all types big and small, anapaest
to FDs factories district schools and the malls, anapaest
Our dear children all married with families too, anapaest
are involved happily in whatever they do, anapaest
Happy grandma of five late twenties to eighteen, anapaest
and one granddaughter married two thousand thirteen, anapaest
We retired sold our business thirteen years ago, anapaest
still so busy with life with its ebb and its flow, anapaest
We are proud and so blessed and thank God up above, anapaest
for our days and our life of good times filled with love, anapaest
At The End Of My Rainbow, anapaest
At the end of our rainbow we're so often told, anapaest
is an awesome reserve of a pot filled with gold, anapaest
At the end of my rainbow no treasure for me, anapaest
in the form of gold coins to use up selfishly, anapaest
At the end of my rainbow inside my own pot, anapaest
will be wishes come true deep within to allot, anapaest
Like a resolute peace in each country on Earth, anapaest
no more conflicts or waroh just think of the mirth, anapaest
To see total mankind as a genus of one, anapaest
for inside we're the same from one God we do come, anapaest
Find the cure for diseasestheir mysteries solved, anapaest
so the curse of these monsters be truly dissolved, anapaest
Find a way to stop hunger both here and abroad, anapaest
with new food waste reduction plans we can applaud, anapaest
Revise government rules to be fair not corrupt, anapaest
make new laws so that violence does not erupt, anapaest
To respect our dear Earth follow her wisdom too, anapaest
with her laws keep in sync in whatever we do, anapaest
At the end of my rainbow instead of bright gold, anapaest
will be wishes come true for mankind to behold, anapaest
God's most beautiful guardian angels come down, anapaest
they descend from the heavens each one in white gown, anapaest
with their spirit they guide memy heart soul and mind, anapaest
These sweet gentle white angels embrace me, anapaest
I can see them but often are blurs undefined, anapaest
angels lead me are with me through my every day, anapaest
I can see them in beauty of life's sweet ballet, anapaest
every new day unfolds with its bright morning ray, anapaest
until nighttime delivers dark sky stars and Moon, anapaest
I can feel them nearby when I'm writing commune, anapaest
with their spirit my deep thoughts instinctively tune, anapaest
in their river of insights where artistry streams, anapaest
And wherever I am within night or daydreams, anapaest
inspiration flows from them in glorious beams, anapaest
glowing warm kindling bright for my choices to see, anapaest
God's most beautiful creatures of angels help me, anapaest
both when seen and when hidden they fly guarantee, anapaest
angel love and directionsunup till sundown, anapaest
With their spirit they guide memy heart soul and mind, anapaest
Angels lead me are with me through my every day, anapaest
until nighttime delivers dark sky stars and Moon, anapaest
In their river of insights where artistry streams, anapaest
glowing warm kindling bright for my choices to see, anapaest
angel love and directionsunup till sundown, anapaest
The first time I heard this I was in disbelief, anapaest
As he readied to play he rosined a long bow, anapaest
And he played with a flair of beauty and motif, anapaest
On a hill far away the notes softly and slow, anapaest
Without breaking his stride In the garden he played, anapaest
I heard voices of angels in tune through it all, anapaest
The heads bow their lips move the congregation prayed, anapaest
Not intending to preach someone issued the call, anapaest
Through it all the strange notes woefully made demand, anapaest
Like a Stradivari rosined strings strike their hearts, anapaest
Oh why not tonight played commanding those at hand, anapaest
with small pricks of conscience from the music’s tearful darts, anapaest
At the end the blind man with the bow cross his chair, anapaest
Swore he heard the soft voice Seraphim singing slow, anapaest
Saying now find the thing that was played if you care, anapaest
should you please rearrange the anagram below, anapaest
After making the trip to Bar Harbor in Maine, anapaest
we set off on excursions within that domain, anapaest
In the midst of events aggravating arcane, anapaest
we began at a loss, anapaest
We embark on a most unpredictable task  , anapaest
touring Cadillac Mountain with fog as a mask, anapaest
Fifteen hundred feet high and sh shaking we ask, anapaest
with alarm Where's the bus, anapaest
Safely back at sea level we all need to chill  , anapaest
Tell me who put the rest stop on top of a hill, anapaest
Giving vent to our steam we release it with skill, anapaest
by creating a fuss, anapaest
So we cuss as we scurry we snort and stampede, anapaest
up the fifty two steps to attend to our need, anapaest
On the zig zag descent rather tetchy still teed, anapaest
we by chance run across, anapaest
a botanical gem   symbiotic we learn, anapaest
A bizarre kind of growth some avoid with concern, anapaest
Is it algae or lichen a fungus or fern, anapaest
a true whatzit for us, anapaest
I see fanciful lace mid inherent decay, anapaest
I see whimsical bubbles entangled in play, anapaest
I see change as our mood now reverses dismay  , anapaest
it's an insight from moss, anapaest
So I queried some poets who dance 'cross our pages, anapaest
With such lightness and patterns and passion filled phrases, anapaest
When your guidance is sought by one earnest and wide eyed, anapaest
Do you deign to reply just to prop up your self pride, anapaest
Do you tell her 'It's simple just read all you can, anapaest
About me and my writing how fluid I am', anapaest
Or perhaps you're a mentor by nature and offer, anapaest
To pry open the portals and share like an author, anapaest
Who reveals all his notes although mental they be, anapaest
And takes pride in the craft of his new devotee, anapaest
Yes 'mong even the great ones (we've heard of a few), anapaest
Magnanimity faded as rivalries grew, anapaest
So our resolute neophyte meets with the names, anapaest
Those whose art she reads daily and counsel she claims, anapaest
With the confidence born of a spirit secure, anapaest
Many veteran artists opine to be sure, anapaest
Some are eager to share of their passion for rhyme, anapaest
And the metrical rhythm and pacing they find, anapaest
so essential to verse in traditional form, anapaest
With the internal metronome setting the norm, anapaest
Yes but what about consonance diction and sound, anapaest
And the imagery seen in a free verse unbound, anapaest
By the strictures and structures of metrical scheme, anapaest
Non traditional verse deserves no less esteem, anapaest
In the end all agree that emotion's the key, anapaest
And the soul of the poet must yearn to be free, anapaest
To give access to mystery tragedy joy, anapaest
Be the uncensored voice that will sometimes annoy, anapaest
Let your passion be sovereign your unrivaled guide, anapaest
You are artist at canvass palette at your side, anapaest
Twas the night / before Christmas when all thro' the house, anapaest
Not a creature was stirring not even a mouse, anapaest
The stockings were hung by the chimney with care, anapaest
In hopes that St Nicholas soon would be there, anapaest
The children were nestled all snug in their beds, anapaest
While visions of sugar plums danced in their heads, anapaest
nd mamma in her 'kerchief and I in my cap, anapaest
Had just settled our brains for a long winter's nap, anapaest
When out on the lawn there arose such a clatter, anapaest
sprang from the bed to see what was the matter, anapaest
Away to the window I flew like a flash, anapaest
Tore open the shutters and threw up the sash, anapaest
The moon on the breast of the new fallen snow, anapaest
Gave the lustre of mid day to objects below, anapaest
When what to my wondering eyes should appear, anapaest
But a miniature sleigh and eight tinny reindeer, anapaest
With a little old driver so lively and quick, anapaest
I knew in a moment it must be St Nick, anapaest
More rapid than eagles his coursers they came, anapaest
And he whistled and shouted and called them by name, anapaest
Now Dasher now Dancer now Prancer and Vixen, anapaest
On Comet On Cupid on on Donner and Blitzen, anapaest
To the top of the porch to the top of the wall, anapaest
Now dash away Dash away Dash away all, anapaest
As dry leaves that before the wild hurricane fly, anapaest
When they meet with an obstacle mount to the sky, anapaest
So up to the house top the coursers they flew, anapaest
With the sleigh full of Toys and St Nicholas too, anapaest
And then in a twinkling I heard on the roof, anapaest
The prancing and pawing of each little hoof, anapaest
As I drew in my head and was turning around, anapaest
Down the chimney St Nicholas came with a bound, anapaest
He was dressed all in fur from his head to his foot, anapaest
And his clothes were all tarnished with ashes and soot, anapaest
A bundle of Toys he had flung on his back, anapaest
And he looked like a peddler just opening his pack, anapaest
His eyes how they twinkled his dimples how merry, anapaest
His cheeks were like roses his nose like a cherry, anapaest
His droll little mouth was drawn up like a bow, anapaest
And the beard of his chin was as white as the snow, anapaest
The stump of a pipe he held tight in his teeth, anapaest
And the smoke it encircled his head like a wreath, anapaest
He had a broad face and a little round belly, anapaest
That shook when he laughed like a bowlful of jelly, anapaest
He was chubby and plump a right jolly old elf, anapaest
And I laughed when I saw him in spite of myself, anapaest
A wink of his eye and a twist of his head, anapaest
Soon gave me to know I had nothing to dread, anapaest
He spoke not a word but went straight to his work, anapaest
And filled all the stockings then turned with a jerk, anapaest
And laying his finger aside of his nose, anapaest
And giving a nod up the chimney he rose, anapaest
He sprang to his sleigh to his team gave a whistle, anapaest
And away they all flew like the down of a thistle, anapaest
But I heard him exclaim 'ere he drove out of sight, anapaest
Happy Christmas to all and to all a good night, anapaest
When the sparklers have sparked and the cannons have boomed, anapaest
And the flags have been flown and the flowers have bloomed, anapaest
When the coleslaw arrives and the meat has been grilled, anapaest
And the children have played and the bellies are filled, anapaest
When the families have left after long fond good byes, anapaest
And the tables are cleared we sit back with a sigh, anapaest
Then we doze and digest with a satisfied smile, anapaest
And with fondness remember the day for awhile, anapaest
But perhaps in the midst of the party and fun, anapaest
We've lost sight of the way that our freedom was won, anapaest
Let us never forget the great war that was fought, anapaest
And the price for our freedom in blood dearly bought  , anapaest
For the wisest of Men said that Truth sets you free, anapaest
And to let freedom ring Truth was nailed to a tree, anapaest
Now that I tying thy glass mask tightly, anapaest
May gaze thro' these faint smokes curling whitely, anapaest
As thou pliest thy trade in this devil's smithy , anapaest
Which is the poison to poison her prithee, anapaest
He is with her and they know that I know, anapaest
Where they are what they do they believe my tears flow, anapaest
While they laugh laugh at me at me fled to the drear, anapaest
Empty church to pray God in for them I am here, anapaest
Grind away moisten and mash up thy paste, anapaest
Pound at thy powder I am not in haste, anapaest
Better sit thus and observe thy strange things, anapaest
Than go where men wait me and dance at the King's, anapaest
That in the mortar you call it a gum, anapaest
Ah the brave tree whence such gold oozings come, anapaest
And yonder soft phial the exquisite blue, anapaest
Sure to taste sweetly is that poison too, anapaest
Had I but all of them thee and thy treasures, anapaest
What a wild crowd of invisible pleasures, anapaest
To carry pure death in an earring a casket, anapaest
A signet a fan mount a filigree basket, anapaest
Soon at the King's a mere lozenge to give, anapaest
And Pauline should have just thirty minutes to live, anapaest
But to light a pastile and Elise with her head, anapaest
And her breast and her arms and her hands should drop dead, anapaest
Quick is it finished The colour's too grim, anapaest
Why not soft like the phial's enticing and dim, anapaest
Let it brighten her drink let her turn it and stir, anapaest
And try it and taste ere she fix and prefer, anapaest
What a drop She's not little no minion like me , anapaest
That's why she ensnared him this never will free, anapaest
The soul from those masculine eyes say no, anapaest
To that pulse's magnificent come and go, anapaest
For only last night as they whispered I brought, anapaest
My own eyes to bear on her so that I thought, anapaest
Could I keep them one half minute fixed she would fall, anapaest
Shrivelled she fell not yet this does it all, anapaest
Not that I bid you spare her the pain, anapaest
Let death be felt and the proof remain, anapaest
Brand burn up bite into its grace , anapaest
He is sure to remember her dying face, anapaest
Is it done Take my mask off Nay be not morose, anapaest
It kills her and this prevents seeing it close, anapaest
The delicate droplet my whole fortune's fee , anapaest
If it hurts her beside can it ever hurt me, anapaest
Now take all my jewels gorge gold to your fill, anapaest
You may kiss me old man on my mouth if you will, anapaest
But brush this dust off me lest horror it brings, anapaest
Ere I know it next moment I dance at the King's, anapaest
LISTEN my children and you shall hear, anapaest
Of the midnight ride of Paul Revere, anapaest
On the eighteenth of April in Seventy five, anapaest
Hardly a man is now alive, anapaest
Who remembers that famous day and year, anapaest
He said to his friend 'If the British march, anapaest
By land or sea from the town to night, anapaest
Hang a lantern aloft in the belfry arch, anapaest
Of the North Church tower as a signal light, anapaest
One if by land and two if by sea, anapaest
And I on the opposite shore will be, anapaest
Ready to ride and spread the alarm, anapaest
Through every Middlesex village and farm, anapaest
For the country folk to be up and to arm', anapaest
Then he said 'Good night' and with muffled oar, anapaest
Silently rowed to the Charlestown shore, anapaest
Just as the moon rose over the bay, anapaest
Where swinging wide at her moorings lay, anapaest
The Somerset British man of war, anapaest
A phantom ship with each mast and spar, anapaest
Across the moon like a prison bar, anapaest
And a huge black hulk that was magnified, anapaest
By its own reflection in the tide, anapaest
Meanwhile his friend through alley and street, anapaest
Wanders and watches with eager ears, anapaest
Till in the silence around him he hears, anapaest
The muster of men at the barrack door, anapaest
The sound of arms and the tramp of feet, anapaest
And the measured tread of the grenadiers, anapaest
Marching down to their boats on the shore, anapaest
Then he climbed the tower of the Old North Church, anapaest
By the wooden stairs with stealthy tread, anapaest
To the belfry chamber overhead, anapaest
And startled the pigeons from their perch, anapaest
On the sombre rafters that round him made, anapaest
Masses and moving shapes of shade, anapaest
By the trembling ladder steep and tall, anapaest
To the highest window in the wall, anapaest
Where he paused to listen and look down, anapaest
A moment on the roofs of the town, anapaest
And the moonlight flowing over all, anapaest
Beneath in the churchyard lay the dead, anapaest
In their night encampment on the hill, anapaest
Wrapped in silence so deep and still, anapaest
That he could hear like a sentinel's tread, anapaest
The watchful night wind as it went, anapaest
Creeping along from tent to tent, anapaest
And seeming to whisper 'All is well', anapaest
A moment only he feels the spell, anapaest
Of the place and the hour and the secret dread, anapaest
Of the lonely belfry and the dead, anapaest
For suddenly all his thoughts are bent, anapaest
On a shadowy something far away, anapaest
Where the river widens to meet the bay, anapaest
A line of black that bends and floats, anapaest
On the rising tide like a bridge of boats, anapaest
Meanwhile impatient to mount and ride, anapaest
Booted and spurred with a heavy stride, anapaest
On the opposite shore walked Paul Revere, anapaest
Now he patted his horse's side, anapaest
Now gazed at the landscape far and near, anapaest
Then impetuous stamped the earth, anapaest
And turned and tightened his saddle girth, anapaest
But mostly he watched with eager search, anapaest
The belfry tower of the Old North Church, anapaest
As it rose above the graves on the hill, anapaest
Lonely and spectral and sombre and still, anapaest
And lo as he looks on the belfry's height, anapaest
A glimmer and then a gleam of light, anapaest
He springs to the saddle the bridle he turns, anapaest
But lingers and gazes till full on his sight, anapaest
A second lamp in the belfry burns, anapaest
A hurry of hoofs in a village street, anapaest
A shape in the moonlight a bulk in the dark, anapaest
And beneath from the pebbles in passing a spark, anapaest
Struck out by a steed flying fearless and fleet, anapaest
That was all And yet through the gloom and the light, anapaest
The fate of a nation was riding that night, anapaest
And the spark struck out by that steed in his flight, anapaest
Kindled the land into flame with its heat, anapaest
He has left the village and mounted the steep, anapaest
And beneath him tranquil and broad and deep, anapaest
Is the Mystic meeting the ocean tides, anapaest
And under the alders that skirt its edge, anapaest
Now soft on the sand now loud on the ledge, anapaest
Is heard the tramp of his steed as he rides, anapaest
LISTEN my children and you shall hear, anapaest
Of the midnight ride of Paul Revere, anapaest
On the eighteenth of April in Seventy five, anapaest
Hardly a man is now alive, anapaest
Who remembers that famous day and year, anapaest
He said to his friend 'If the British march, anapaest
By land or sea from the town to night, anapaest
Hang a lantern aloft in the belfry arch, anapaest
Of the North Church tower as a signal light , anapaest
One if by land and two if by sea, anapaest
And I on the opposite shore will be, anapaest
Ready to ride and spread the alarm, anapaest
Through every Middlesex village and farm, anapaest
For the country folk to be up and to arm', anapaest
Then he said 'Good night' and with muffled oar, anapaest
Silently rowed to the Charlestown shore, anapaest
Just as the moon rose over the bay, anapaest
Where swinging wide at her moorings lay, anapaest
The Somerset British man of war, anapaest
A phantom ship with each mast and spar, anapaest
Across the moon like a prison bar, anapaest
And a huge black hulk that was magnified, anapaest
By its own reflection in the tide, anapaest
Meanwhile his friend through alley and street, anapaest
Wanders and watches with eager ears, anapaest
Till in the silence around him he hears, anapaest
The muster of men at the barrack door, anapaest
The sound of arms and the tramp of feet, anapaest
And the measured tread of the grenadiers, anapaest
Marching down to their boats on the shore, anapaest
Then he climbed the tower of the Old North Church, anapaest
By the wooden stairs with stealthy tread, anapaest
To the belfry chamber overhead, anapaest
And startled the pigeons from their perch, anapaest
On the sombre rafters that round him made, anapaest
